CASE_NUMBER,CASE_RECEIVED_DATE,DECISION_DATE,WORK_STATE,PAID_WAGE_PER_YEAR,JOB_TITLE_SUBGROUP,order
I-200-14337-888815,12/3/2014,12/9/2014,MA,157704,management consultant,44792
I-200-15061-964783,3/5/2015,3/11/2015,MA,146000,software engineer,44795
A-14265-09240,10/29/2014,6/11/2015,MASSACHUSETTS,130000,software engineer,44798
I-200-15064-628958,3/10/2015,3/16/2015,MA,122000,software engineer,44801
I-200-15051-321972,2/20/2015,3/2/2015,MA,120132,software engineer,44804
I-200-15006-581040,1/6/2015,1/12/2015,MA,120000,software engineer,44807
I-200-14203-971107,7/22/2014,7/28/2014,MA,120000,software engineer,44810
I-200-12075-844831,10/1/2014,10/7/2014,MA,110000,software engineer,44813
I-200-15013-608685,1/13/2015,1/20/2015,MA,110000,software engineer,44816
I-200-15071-610052,3/12/2015,3/18/2015,MA,110000,software engineer,44819
I-200-15047-386382,2/26/2015,3/4/2015,MA,108500,software engineer,44822
I-200-14245-457343,9/2/2014,9/8/2014,MA,106353.36,software engineer,44825
I-200-14342-046124,12/12/2014,12/18/2014,MA,105000,software engineer,44828
I-200-14246-028443,9/3/2014,9/9/2014,MA,105000,software engineer,44831
I-200-14363-979207,12/31/2014,1/7/2015,MA,104000,software engineer,44834
I-200-14232-048996,8/28/2014,9/4/2014,MA,102011,software engineer,44837
I-200-14349-495405,12/15/2014,12/19/2014,MA,101000,software engineer,44840
I-200-14296-315024,10/23/2014,10/29/2014,MA,100000,software engineer,44843
I-200-14336-844570,12/2/2014,12/2/2014,MA,100000,software engineer,44846
I-200-15029-057753,1/29/2015,2/4/2015,MA,100000,software engineer,44849
I-200-15069-066127,3/10/2015,3/16/2015,MA,100000,software engineer,44852
I-200-14230-483698,8/18/2014,8/24/2014,MA,100000,software engineer,44855
I-200-15068-631313,3/11/2015,3/18/2015,MA,99400,software engineer,44858
I-200-14275-088840,10/10/2014,10/17/2014,MA,98000,software engineer,44861
I-200-14189-198818,7/8/2014,7/14/2014,MA,97500,software engineer,44864
I-200-15054-600129,2/23/2015,2/27/2015,MA,96000,software engineer,44867
I-200-15049-000633,2/23/2015,2/27/2015,MA,95000,software engineer,44870
I-200-15068-700609,3/11/2015,3/18/2015,MA,95000,software engineer,44873
I-200-14217-635044,8/5/2014,8/11/2014,MA,95000,software engineer,44876
I-200-14262-025150,9/22/2014,9/26/2014,MA,95000,software engineer,44879
I-200-14345-461504,12/11/2014,12/17/2014,IA,94000,software engineer,44882
A-14273-11693,10/24/2014,3/17/2015,MASSACHUSETTS,93300,software engineer,44885
I-200-15075-482184,3/18/2015,3/24/2015,MA,93000,software engineer,44888
I-200-14238-881541,8/26/2014,9/2/2014,MA,92500,software engineer,44891
I-200-14324-302579,11/20/2014,11/26/2014,MA,92000,software engineer,44894
I-200-15053-515889,2/23/2015,2/27/2015,MA,91800,software engineer,44897
I-200-14266-194158,9/23/2014,9/29/2014,MA,91000,software engineer,44900
I-200-14282-863090,10/9/2014,10/16/2014,MA,90000,software engineer,44903
I-200-14300-792371,10/27/2014,10/31/2014,MA,90000,software engineer,44906
I-200-14314-434900,11/10/2014,11/17/2014,MA,90000,software engineer,44909
I-200-14339-097358,12/8/2014,12/12/2014,MA,90000,software engineer,44912
I-200-15009-885775,1/9/2015,1/15/2015,MA,90000,software engineer,44915
I-200-15024-716628,1/24/2015,1/29/2015,MA,90000,software engineer,44918
I-200-15034-106296,2/3/2015,3/6/2015,MA,90000,software engineer,44921
I-200-15040-378235,2/9/2015,2/14/2015,MA,90000,software engineer,44924
I-200-15043-229536,2/25/2015,3/3/2015,MA,90000,software engineer,44927
I-200-15051-487532,2/20/2015,2/26/2015,MA,90000,software engineer,44930
I-200-15054-129151,2/23/2015,2/27/2015,MA,90000,software engineer,44933
I-200-15058-584569,2/27/2015,3/5/2015,MA,90000,software engineer,44936
I-200-15060-297653,3/2/2015,3/6/2015,MA,90000,software engineer,44939
I-200-15065-051068,3/10/2015,3/16/2015,MA,90000,software engineer,44942
I-200-15071-619032,3/24/2015,3/30/2015,MA,90000,software engineer,44945
I-200-15075-634281,3/17/2015,3/23/2015,MA,90000,software engineer,44948
I-200-15083-676589,3/24/2015,3/30/2015,MA,90000,software engineer,44951
I-200-14211-338735,7/31/2014,8/6/2014,MA,90000,software engineer,44954
I-200-14232-603873,8/20/2014,8/26/2014,MA,90000,software engineer,44957
I-200-14259-166590,9/16/2014,9/22/2014,MA,90000,software engineer,44960
I-200-14202-805358,7/22/2014,7/28/2014,MA,89550,software engineer,44963
I-200-14296-187237,10/23/2014,10/29/2014,MA,89000,software engineer,44966
I-200-14338-973106,12/4/2014,12/10/2014,MA,89000,software engineer,44969
I-200-15056-519730,2/25/2015,3/3/2015,MA,89000,software engineer,44972
I-200-14219-908181,8/12/2014,8/18/2014,MA,89000,software engineer,44975
I-200-14226-808358,8/14/2014,8/20/2014,MA,89000,software engineer,44978
I-200-14247-643632,9/4/2014,9/10/2014,MA,89000,software engineer,44981
I-200-14266-745130,9/24/2014,9/30/2014,MA,89000,software engineer,44984
I-200-14294-859376,10/21/2014,10/27/2014,MA,88700,software engineer,44987
I-200-15032-891873,2/1/2015,2/5/2015,MA,88700,software engineer,44990
I-200-14238-383246,8/26/2014,9/2/2014,MA,88700,software engineer,44993
A-14288-15859,11/4/2014,4/23/2015,MASSACHUSETTS,88691,software engineer,44996
I-200-14275-962295,10/7/2014,10/14/2014,MA,88691,software engineer,44999
I-200-14337-469989,12/3/2014,12/9/2014,MA,88691,software engineer,45002
I-200-14350-139981,12/17/2014,12/23/2014,MA,88691,software engineer,45005
I-200-14351-600474,12/17/2014,12/23/2014,MA,88691,software engineer,45008
I-200-15022-833242,1/30/2015,2/5/2015,MA,88691,software engineer,45011
I-200-15044-311058,2/17/2015,2/23/2015,MA,88691,software engineer,45014
I-200-15057-564412,3/10/2015,3/16/2015,MA,88691,software engineer,45017
I-200-15061-488317,3/2/2015,3/6/2015,MA,88691,software engineer,45020
I-200-15063-951675,3/5/2015,3/11/2015,MA,88691,software engineer,45023
I-200-15071-133561,3/17/2015,3/23/2015,MA,88691,software engineer,45026
I-200-15072-451214,3/13/2015,3/19/2015,MA,88691,software engineer,45029
I-200-15075-103397,3/16/2015,3/16/2015,MA,88691,software engineer,45032
I-200-15084-971015,3/25/2015,3/31/2015,MA,88691,software engineer,45035
I-200-14197-943034,7/18/2014,7/24/2014,MA,88691,software engineer,45038
I-200-14205-552994,7/24/2014,7/28/2014,MA,88691,software engineer,45041
I-200-14232-064715,8/21/2014,8/27/2014,MA,88691,software engineer,45044
I-200-14041-189103,2/10/2014,2/15/2014,OH,115000,assistant professor,45047
I-200-14148-842950,6/9/2014,6/14/2014,IL,130000,software engineer,45050
I-200-13322-569665,11/18/2013,11/22/2013,IL,106850,software engineer,45053
I-200-12299-967309,10/26/2012,11/1/2012,NJ,100000,software engineer,45056
I-200-13023-101851,1/23/2013,1/29/2013,NJ,96000,software engineer,45059
I-200-13330-546854,11/26/2013,12/3/2013,IL,95000,software engineer,45062
I-200-13343-382494,12/10/2013,12/16/2013,IL,94390,software engineer,45065
I-200-13028-197258,1/28/2013,2/1/2013,NJ,90000,software engineer,45068
I-200-13109-176903,4/19/2013,4/25/2013,NJ,90000,software engineer,45071
I-200-13071-183983,5/8/2013,5/14/2013,NJ,89000,software engineer,45074
I-200-12296-313430,10/22/2012,10/26/2012,NJ,88700,software engineer,45077
I-200-13350-903821,12/23/2013,12/30/2013,IL,88670,software engineer,45080
I-200-13038-613789,2/11/2013,2/15/2013,NJ,88670,software engineer,45083
I-200-14072-983226,3/13/2014,3/21/2014,CA,88669,software engineer,45086
I-200-14205-508100,7/25/2014,8/1/2014,MO,88656,software engineer,45089
I-200-12355-843811,12/20/2012,5/19/2014,CA,100000,business analyst,45092
I-200-11082-006444,3/23/2011,10/16/2012,MA,90000,software engineer,45095
A-13137-64692,8/23/2013,3/18/2015,CALIFORNIA,88650,business analyst,45098
I-200-13234-432343,8/22/2013,7/16/2014,PA,150000,assistant professor,45101
I-200-14241-362117,8/29/2014,9/5/2014,NC,145600,business analyst,45104
I-200-14345-210739,12/12/2014,12/18/2014,MA,95000,software engineer,45107
I-200-14357-896853,12/23/2014,12/30/2014,TX,102160,business analyst,45110
I-200-10075-605503,3/16/2010,11/13/2012,VA,115000,software engineer,45113
I-200-13207-901291,12/20/2013,12/27/2013,MA,88600,business analyst,45116
I-200-14167-549429,6/16/2014,6/20/2014,MD,120000,software engineer,45119
A-14216-94987,8/4/2014,1/7/2015,MARYLAND,105000,software engineer,45122
I-200-13309-478382,11/5/2013,11/12/2013,MD,104000,software engineer,45125
I-200-13241-352056,8/29/2013,9/6/2013,MD,104000,software engineer,45128
I-200-13309-579275,11/5/2013,11/12/2013,MD,100000,software engineer,45131
I-200-13347-422932,12/13/2013,12/19/2013,MD,98000,software engineer,45134
I-200-14044-132268,2/13/2014,2/21/2014,MD,96600,software engineer,45137
I-200-13227-706276,8/15/2013,8/21/2013,MD,96000,software engineer,45140
I-200-13192-125561,7/11/2013,7/17/2013,MD,94000,software engineer,45143
A-14125-66522,5/6/2014,10/22/2014,MARYLAND,90000,software engineer,45146
I-200-14071-052147,3/12/2014,3/18/2014,MD,90000,software engineer,45149
I-200-14072-355449,3/13/2014,3/19/2014,MD,90000,software engineer,45152
I-200-14076-565786,3/17/2014,3/21/2014,MD,90000,software engineer,45155
I-200-13184-082062,7/3/2013,7/10/2013,MD,90000,software engineer,45158
I-200-13318-383398,11/14/2013,11/20/2013,MD,89000,software engineer,45161
I-200-14098-412519,4/8/2014,4/14/2014,MD,89000,software engineer,45164
I-200-14155-816244,6/4/2014,6/10/2014,MD,89000,software engineer,45167
I-200-13360-524274,12/26/2013,1/2/2014,MD,88600,software engineer,45170
I-200-14143-134205,5/23/2014,5/30/2014,MD,88600,software engineer,45173
A-14118-64259,6/4/2014,11/7/2014,MARYLAND,88587,software engineer,45176
A-14127-67036,5/27/2014,10/20/2014,MARYLAND,88587,software engineer,45179
A-14162-77322,6/13/2014,10/31/2014,MARYLAND,88587,software engineer,45182
I-200-13269-579334,9/26/2013,11/1/2013,MD,88587,software engineer,45185
I-200-13352-095261,12/18/2013,12/24/2013,MD,88587,software engineer,45188
I-200-14072-387847,3/13/2014,3/19/2014,MD,88587,software engineer,45191
I-200-14115-743593,4/25/2014,4/25/2014,MD,88587,software engineer,45194
I-200-14143-027781,5/28/2014,6/3/2014,MD,88587,software engineer,45197
I-200-13220-988202,8/8/2013,8/14/2013,MD,88587,software engineer,45200
I-200-14247-916336,9/4/2014,9/10/2014,FL,88566,software engineer,45203
I-200-12298-934621,10/30/2012,11/5/2012,OR,88566,business analyst,45206
I-200-13004-037218,1/4/2013,1/10/2013,NJ,104000,business analyst,45210
I-203-13046-984113,2/15/2013,2/22/2013,CA,100000,business analyst,45213
I-200-13107-609164,4/17/2013,4/23/2013,NJ,100000,business analyst,45216
I-200-13098-058714,4/8/2013,4/12/2013,NJ,90000,business analyst,45219
I-200-12277-447139,10/9/2012,10/15/2012,NJ,88546,software engineer,45222
I-200-13105-398538,4/15/2013,7/18/2013,NJ,97760,business analyst,45228
I-200-14216-208422,8/4/2014,8/8/2014,AZ,125000,software engineer,45231
I-200-15079-849087,3/20/2015,3/26/2015,AZ,120000,software engineer,45234
I-200-15054-887268,2/23/2015,2/27/2015,AZ,115000,software engineer,45237
I-200-14273-363761,9/30/2014,10/6/2014,AZ,110000,software engineer,45240
I-200-14365-879827,1/2/2015,1/8/2015,AZ,110000,software engineer,45243
I-200-15054-955907,2/24/2015,3/2/2015,AZ,110000,software engineer,45246
I-200-14261-442840,9/18/2014,9/24/2014,AZ,110000,software engineer,45249
I-200-14315-398962,11/11/2014,11/17/2014,AZ,105000,software engineer,45252
I-200-14302-110301,10/29/2014,11/4/2014,AZ,102000,software engineer,45255
I-200-14281-108214,10/17/2014,10/23/2014,AZ,101494.12,software engineer,45258
I-200-14241-075000,8/29/2014,9/5/2014,AZ,100008,software engineer,45261
I-200-15056-505857,2/26/2015,3/4/2015,AZ,100000,software engineer,45264
I-200-15053-391038,2/23/2015,3/4/2015,AZ,97000,software engineer,45267
I-200-14275-505443,10/2/2014,10/6/2014,AZ,95000,software engineer,45270
I-200-15051-488129,2/25/2015,3/3/2015,AZ,95000,software engineer,45273
I-200-15037-130947,2/6/2015,2/13/2015,AZ,93114,software engineer,45276
I-200-14321-801152,11/18/2014,11/24/2014,AZ,90000,software engineer,45279
I-200-15053-057404,2/22/2015,2/26/2015,AZ,90000,software engineer,45282
I-200-15079-184595,3/20/2015,3/26/2015,AZ,90000,software engineer,45285
I-200-14259-276649,9/16/2014,9/22/2014,AZ,90000,software engineer,45288
I-200-14332-304181,11/28/2014,12/4/2014,AZ,88525,software engineer,45291
I-200-15077-464964,3/18/2015,3/24/2015,AZ,88525,software engineer,45294
I-200-14258-419112,9/15/2014,9/19/2014,AZ,88525,software engineer,45297
I-200-13291-443102,10/18/2013,11/4/2013,WA,99840,software engineer,45300
I-200-13042-198706,2/11/2013,2/15/2013,MI,95000,software engineer,45303
I-200-14107-575794,4/18/2014,4/24/2014,WA,90000,software engineer,45306
I-200-13066-963699,3/15/2013,3/21/2013,MI,90000,software engineer,45309
I-200-13099-865052,4/9/2013,4/15/2013,MI,90000,software engineer,45312
I-200-13081-080545,3/26/2013,4/1/2013,MI,89000,software engineer,45315
I-200-14013-108651,1/27/2014,2/3/2014,MA,88600,business analyst,45318
I-200-13262-210082,9/30/2013,10/22/2013,WA,88504,software engineer,45321
I-200-13255-999334,9/12/2013,9/20/2013,WA,88504,software engineer,45324
I-200-14120-957322,4/30/2014,5/6/2014,FL,210000,assistant professor,45327
I-200-14098-456891,4/9/2014,9/8/2014,FL,170000,assistant professor,45330
I-200-13352-928873,12/18/2013,12/24/2013,FL,165800,assistant professor,45333
I-200-14083-717749,3/25/2014,3/31/2014,FL,165800,assistant professor,45336
I-200-14132-912542,5/12/2014,5/16/2014,FL,147000,assistant professor,45339
I-200-11292-416440,10/19/2011,10/25/2011,NJ,88500,software engineer,45342
I-200-14164-087516,6/13/2014,6/20/2014,FL,88500,assistant professor,45345
I-200-14255-093499,9/12/2014,9/18/2014,PA,94600,software engineer,45348
I-200-15056-677803,3/16/2015,3/20/2015,NJ,88483,business analyst,45351
I-200-12048-332490,2/17/2012,5/6/2014,NV,88462,software engineer,45354
I-200-13156-874655,6/12/2013,6/18/2013,MN,88442.04,business analyst,45357
I-200-11291-889728,10/18/2011,10/24/2011,PA,115000,software engineer,45360
I-200-13134-451619,5/14/2013,5/20/2013,MN,109200,business analyst,45363
I-200-12334-838586,11/29/2012,12/5/2012,MN,104000,business analyst,45366
I-200-13081-400819,3/22/2013,3/28/2013,MN,100000,business analyst,45369
A-14205-92069,7/25/2014,12/22/2014,MASSACHUSETTS,95000,software engineer,45372
I-200-14115-649934,5/19/2014,9/30/2014,MA,92500,software engineer,45375
I-200-11285-673887,10/12/2011,10/18/2011,AL,89000,software engineer,45378
A-14198-89755,9/3/2014,1/27/2015,MASSACHUSETTS,88442,software engineer,45381
I-200-14167-840957,6/16/2014,6/20/2014,MA,88442,software engineer,45384
I-200-11271-095954,9/28/2011,10/4/2011,PA,89000,software engineer,45387
I-200-11251-748328,9/14/2011,7/29/2014,CA,88417,software engineer,45390
I-200-14232-530755,9/2/2014,9/8/2014,IN,105500,business analyst,45393
A-14276-12876,10/24/2014,3/18/2015,MARYLAND,90000,software engineer,45396
I-200-13043-036390,3/4/2013,3/8/2013,NJ,90000,software engineer,45399
I-200-13062-376993,3/3/2013,3/7/2013,NJ,89000,software engineer,45402
I-200-13094-187421,4/4/2013,4/5/2013,NJ,88400,software engineer,45405
I-200-13144-331872,5/24/2013,5/31/2013,NJ,88400,software engineer,45408
I-200-15055-100644,2/24/2015,3/4/2015,GA,88400,data analyst,45411
I-200-13057-881122,2/26/2013,3/4/2013,CA,110250,data scientist,45414
I-200-13074-353348,3/15/2013,3/21/2013,CA,105000,data analyst,45417
I-200-13238-357245,8/26/2013,8/30/2013,PA,90000,assistant professor,45421
I-200-14058-427681,2/27/2014,3/5/2014,CA,125000,business analyst,45424
I-200-14057-668835,3/12/2014,3/18/2014,CA,105000,management consultant,45427
I-200-14058-663063,2/28/2014,3/6/2014,CA,100000,business analyst,45430
I-200-13310-338240,11/6/2013,11/13/2013,CA,90000,business analyst,45433
I-200-14013-608090,1/17/2014,1/24/2014,CA,88400,business analyst,45436
I-200-15026-346626,2/20/2015,2/26/2015,NH,88317,software engineer,45439
I-200-13354-360322,12/20/2013,12/27/2013,CA,88317,business analyst,45442
I-200-13261-639953,9/18/2013,9/27/2013,CA,88317,business analyst,45445
I-200-14113-977212,4/29/2014,5/5/2014,CA,124571.2,management consultant,45448
I-200-14297-539995,10/24/2014,10/30/2014,PA,94711,software engineer,45451
I-200-15040-529819,2/10/2015,2/18/2015,MD,88310,business analyst,45454
I-200-12068-623779,2/11/2014,2/18/2014,MA,135200,software engineer,45457
I-200-14038-349861,2/17/2014,2/21/2014,MA,127000,software engineer,45460
I-200-14058-471866,2/27/2014,3/5/2014,MA,120000,software engineer,45463
I-200-14086-941708,3/27/2014,4/2/2014,MA,120000,software engineer,45466
I-200-13241-919086,8/29/2013,9/6/2013,MA,120000,software engineer,45469
I-200-11236-045484,8/26/2013,8/30/2013,MA,116000,software engineer,45472
I-200-14059-065024,3/3/2014,3/7/2014,MA,115000,software engineer,45475
I-200-14160-813269,6/9/2014,6/14/2014,MA,115000,data scientist,45478
A-14119-64866,5/14/2014,2/3/2015,MASSACHUSETTS,113050,software engineer,45481
A-14214-94879,8/18/2014,1/13/2015,MASSACHUSETTS,110000,software engineer,45484
I-200-14049-579886,2/19/2014,2/25/2014,MA,110000,software engineer,45487
I-200-14157-352651,6/6/2014,6/12/2014,MA,110000,software engineer,45490
I-200-13179-941808,9/4/2013,9/11/2013,MA,106000,software engineer,45493
A-14148-72802,7/18/2014,12/16/2014,MASSACHUSETTS,105000,software engineer,45496
I-200-14024-746902,1/30/2014,2/6/2014,MA,105000,software engineer,45499
I-200-14069-858006,3/10/2014,3/14/2014,MA,105000,software engineer,45502
I-200-14216-551329,8/4/2014,8/11/2014,MI,105000,software engineer,45505
I-200-15072-888948,3/16/2015,3/20/2015,MI,104000,software engineer,45508
A-14086-56192,5/7/2014,10/6/2014,MASSACHUSETTS,103145,software engineer,45511
I-200-14091-236882,4/3/2014,4/9/2014,MA,102500,business analyst,45514
I-200-13228-822067,8/16/2013,8/22/2013,MA,102000,software engineer,45517
A-14085-55839,5/19/2014,10/1/2014,MASSACHUSETTS,101523,software engineer,45520
I-200-13274-293508,10/1/2013,10/22/2013,MA,100000,software engineer,45523
I-200-13303-621423,10/30/2013,2/4/2014,MA,100000,software engineer,45526
I-200-13340-837535,12/6/2013,12/12/2013,MA,100000,software engineer,45529
I-200-14020-428867,1/20/2014,1/24/2014,MA,100000,software engineer,45532
I-200-14043-328785,2/12/2014,2/19/2014,MA,100000,software engineer,45535
I-200-14163-154170,6/13/2014,6/20/2014,MA,100000,software engineer,45538
I-200-13059-151223,2/28/2013,3/6/2013,PA,100000,software engineer,45541
I-200-13212-317915,7/31/2013,8/6/2013,MA,100000,software engineer,45544
A-14225-97994,8/13/2014,1/20/2015,MASSACHUSETTS,99387,software engineer,45547
I-200-13200-998601,7/22/2013,7/26/2013,MA,98838,software engineer,45550
I-200-13302-598753,10/29/2013,11/4/2013,MA,97948.74,software engineer,45553
I-200-14087-503048,4/4/2014,4/10/2014,MA,97000,software engineer,45556
I-200-15079-930918,3/23/2015,3/27/2015,MI,96750,software engineer,45559
I-200-12342-221412,12/7/2012,12/13/2012,PA,96000,software engineer,45562
I-200-14167-448656,6/16/2014,6/20/2014,MA,95265.6,software engineer,45565
A-14276-12829,10/15/2014,3/9/2015,MASSACHUSETTS,95200,software engineer,45568
I-200-15063-730992,3/4/2015,3/10/2015,MI,95000,software engineer,45571
I-200-13340-558752,12/6/2013,12/13/2013,MA,95000,software engineer,45574
I-200-14071-366095,3/13/2014,3/19/2014,MA,95000,software engineer,45577
I-200-13086-159347,6/1/2013,6/6/2013,TN,95000,software engineer,45580
I-200-14160-473067,6/9/2014,6/14/2014,MA,95000,business analyst,45583
A-14302-20337,12/10/2014,6/25/2015,MICHIGAN,94000,software engineer,45586
I-200-13269-695881,9/27/2013,11/1/2013,MA,93500,software engineer,45589
I-200-14121-754578,5/1/2014,5/7/2014,MA,93500,software engineer,45592
I-200-14071-341037,3/20/2014,3/26/2014,MA,93042.18,software engineer,45595
I-200-13323-918022,11/19/2013,7/23/2014,MA,93000,software engineer,45598
I-200-14099-463705,4/11/2014,4/17/2014,MA,92632.11,software engineer,45601
I-200-13339-998165,12/5/2013,12/11/2013,MA,92000,software engineer,45604
I-200-14027-329977,2/3/2014,2/7/2014,MA,90800.16,software engineer,45607
A-14171-80525,6/20/2014,11/12/2014,MASSACHUSETTS,90000,software engineer,45610
A-14272-11246,10/3/2014,2/27/2015,MICHIGAN,90000,software engineer,45613
I-200-13291-520848,10/18/2013,10/26/2013,MA,90000,software engineer,45616
I-200-13357-091901,12/23/2013,12/30/2013,MA,90000,software engineer,45619
I-200-14055-850223,2/24/2014,2/28/2014,MA,90000,software engineer,45622
I-200-14055-991571,2/24/2014,2/28/2014,MA,90000,software engineer,45625
I-200-14062-680854,3/3/2014,4/1/2014,MA,90000,software engineer,45628
I-200-14084-871706,3/25/2014,3/31/2014,MA,90000,software engineer,45631
I-200-14104-315588,4/15/2014,4/22/2014,MA,90000,software engineer,45634
I-200-14139-626188,5/19/2014,5/23/2014,MA,90000,software engineer,45637
I-200-14140-077250,5/20/2014,5/27/2014,MA,90000,software engineer,45640
I-200-14155-749450,6/4/2014,6/10/2014,MA,90000,software engineer,45643
I-203-13303-079401,11/7/2013,11/14/2013,MA,90000,software engineer,45646
I-200-13183-019662,7/9/2013,7/15/2013,MA,90000,software engineer,45649
I-200-13242-627286,8/30/2013,9/9/2013,MA,90000,software engineer,45652
A-14224-97508,8/25/2014,1/26/2015,MASSACHUSETTS,89000,software engineer,45655
I-200-14007-627329,1/7/2014,1/13/2014,MA,89000,software engineer,45658
I-200-14030-400881,1/30/2014,2/6/2014,MA,89000,software engineer,45661
I-200-14059-946324,3/3/2014,3/7/2014,MA,89000,software engineer,45664
I-200-14093-708084,4/15/2014,4/23/2014,MA,89000,software engineer,45667
I-200-14140-446877,5/20/2014,5/27/2014,MA,89000,software engineer,45670
I-200-14136-885092,5/30/2014,6/5/2014,MA,89000,business analyst,45673
I-200-13361-742851,1/3/2014,12/15/2014,MA,88560,software engineer,45676
I-200-14009-077106,1/9/2014,1/15/2014,MA,88500,software engineer,45679
I-200-14043-759346,2/12/2014,2/19/2014,MA,88500,software engineer,45682
I-200-14113-558233,4/23/2014,4/29/2014,MA,88500,software engineer,45685
I-200-14136-866073,5/19/2014,5/23/2014,MA,88500,software engineer,45688
I-200-13200-786808,7/19/2013,7/25/2013,MA,88500,software engineer,45691
I-200-13261-462856,9/19/2013,9/30/2013,MA,88500,software engineer,45694
I-200-15074-651985,3/17/2015,3/20/2015,MI,88300,software engineer,45697
I-200-14084-751317,4/22/2014,4/28/2014,MA,88300,software engineer,45700
I-200-14113-438027,4/23/2014,4/23/2014,MA,88300,software engineer,45703
I-200-13192-367985,7/15/2013,7/19/2013,MA,88300,software engineer,45706
I-200-13304-576959,10/31/2013,11/8/2013,MA,88296,software engineer,45709
A-13354-26960,5/19/2014,11/12/2014,MASSACHUSETTS,88296,software engineer,45712
A-14121-65452,7/2/2014,11/28/2014,MASSACHUSETTS,88296,software engineer,45715
A-14267-09954,10/7/2014,3/4/2015,MASSACHUSETTS,88296,software engineer,45718
A-14279-13275,10/27/2014,3/19/2015,MICHIGAN,88296,software engineer,45721
A-14302-20598,11/6/2014,5/1/2015,MICHIGAN,88296,software engineer,45724
A-14316-24972,11/12/2014,5/12/2015,MICHIGAN,88296,software engineer,45727
A-14322-26623,11/19/2014,5/26/2015,MASSACHUSETTS,88296,software engineer,45730
I-200-14112-956042,4/22/2014,10/27/2014,MA,88296,software engineer,45733
I-200-14350-550048,12/16/2014,12/22/2014,MI,88296,software engineer,45736
I-200-15063-762229,3/4/2015,3/10/2015,MI,88296,software engineer,45739
I-200-13296-319880,10/23/2013,11/1/2013,MA,88296,software engineer,45742
I-200-13304-535413,10/31/2013,11/6/2013,MA,88296,software engineer,45745
I-200-13324-695020,11/22/2013,11/29/2013,MA,88296,software engineer,45748
I-200-13343-611479,12/10/2013,12/16/2013,MA,88296,software engineer,45751
I-200-13361-693086,12/30/2013,1/6/2014,MA,88296,software engineer,45754
I-200-14007-967038,1/7/2014,1/13/2014,MA,88296,software engineer,45757
I-200-14022-701376,1/22/2014,1/29/2014,MA,88296,software engineer,45760
I-200-14034-320993,2/18/2014,2/24/2014,MA,88296,software engineer,45763
I-200-14041-098248,2/13/2014,2/21/2014,MA,88296,software engineer,45766
I-200-14041-247438,2/13/2014,2/21/2014,MA,88296,software engineer,45769
I-200-14041-416828,2/13/2014,2/21/2014,MA,88296,software engineer,45772
I-200-14041-599292,2/13/2014,2/21/2014,MA,88296,software engineer,45775
I-200-14043-022955,2/12/2014,6/12/2014,MA,88296,software engineer,45778
I-200-14045-086264,3/11/2014,3/17/2014,MA,88296,software engineer,45781
I-200-14049-558376,3/11/2014,3/17/2014,MA,88296,software engineer,45784
I-200-14051-867160,2/20/2014,2/24/2014,MA,88296,software engineer,45787
I-200-14058-772582,2/27/2014,3/5/2014,MA,88296,software engineer,45790
I-200-14077-921926,3/19/2014,3/25/2014,MA,88296,software engineer,45793
I-200-14100-142303,4/15/2014,4/23/2014,MA,88296,software engineer,45796
I-200-14106-437851,4/28/2014,5/2/2014,MA,88296,software engineer,45799
I-200-14126-357974,5/15/2014,5/21/2014,MA,88296,software engineer,45802
I-200-14147-655501,5/30/2014,6/5/2014,MA,88296,software engineer,45805
I-200-14162-377822,6/11/2014,6/17/2014,OH,88296,software engineer,45808
I-200-12335-077364,12/6/2012,12/12/2012,TN,88296,software engineer,45811
I-200-13184-089119,7/3/2013,7/10/2013,MA,88296,software engineer,45814
I-200-13218-202483,8/15/2013,8/21/2013,MA,88296,software engineer,45817
I-200-14074-024654,3/24/2014,3/28/2014,MA,88296,data scientist,45820
I-200-14066-718079,3/12/2014,3/21/2014,MA,88285,software engineer,45823
I-200-12332-774614,11/27/2012,12/3/2012,CA,98820.8,software engineer,45826
I-200-13074-271556,3/15/2013,3/21/2013,CA,89440,software engineer,45829
I-200-12356-969327,12/28/2012,2/3/2015,CA,88275.2,software engineer,45832
I-200-13058-801189,3/6/2013,3/9/2015,CA,88275.2,software engineer,45835
I-200-12242-256056,8/30/2012,1/9/2014,CA,88275.2,software engineer,45838
I-200-12346-133533,12/14/2012,1/8/2014,CA,88275.2,software engineer,45841
I-200-12354-315866,12/21/2012,1/14/2014,CA,88275.2,software engineer,45844
I-200-13002-201030,1/7/2013,1/9/2014,CA,88275.2,software engineer,45847
I-200-13016-881334,1/30/2013,1/9/2014,CA,88275.2,software engineer,45850
I-200-13018-178780,1/30/2013,9/17/2014,CA,88275.2,software engineer,45853
I-200-13028-995173,2/5/2013,1/8/2014,CA,88275.2,software engineer,45856
I-200-13045-835182,3/7/2013,12/24/2013,CA,88275.2,software engineer,45859
I-200-13074-402356,3/19/2013,11/1/2013,CA,88275.2,software engineer,45862
I-200-13085-635780,3/26/2013,1/9/2014,CA,88275.2,software engineer,45865
I-200-13098-217886,4/10/2013,9/12/2014,CA,88275.2,software engineer,45868
I-200-13147-431602,6/4/2013,9/3/2014,CA,88275.2,software engineer,45871
I-200-12278-943128,10/8/2012,10/12/2012,CA,88275.2,software engineer,45874
