CASE_NUMBER,CASE_RECEIVED_DATE,DECISION_DATE,WORK_STATE,PAID_WAGE_PER_YEAR,JOB_TITLE_SUBGROUP,order,
I-200-11294-087305,10/28/2011,11/3/2011,GA,105040,business analyst,27666,0
I-200-15050-352331,2/24/2015,3/4/2015,MA,98900,software engineer,27675,0
I-200-14338-855455,12/4/2014,12/10/2014,PA,145000,software engineer,27687,0
I-200-13093-822088,4/4/2013,4/10/2013,MA,122500,software engineer,27693,0
I-200-14287-116067,10/15/2014,10/21/2014,NC,113300,software engineer,27702,0
I-200-12340-032221,12/5/2012,12/11/2012,MA,110000,software engineer,27711,0
I-200-15051-709803,2/23/2015,2/27/2015,GA,108923,software engineer,27717,0
I-200-13175-905311,6/24/2013,6/28/2013,MA,105000,software engineer,27726,0
I-200-14364-361095,12/30/2014,1/6/2015,PA,101084,software engineer,27735,0
I-200-15078-047996,3/20/2015,3/26/2015,PA,100000,software engineer,27741,0
I-200-13069-087428,3/12/2013,3/18/2013,MA,100000,software engineer,27750,0
I-200-13081-171411,3/22/2013,3/28/2013,MA,99000,software engineer,27759,0
I-200-14344-934402,12/10/2014,12/16/2014,GA,98821,software engineer,27765,0
I-200-13060-421796,3/6/2013,3/12/2013,MA,98821,software engineer,27774,0
I-200-12277-154479,10/3/2012,10/22/2013,MA,115000,software engineer,27783,0
I-200-13077-973759,3/18/2013,3/22/2013,CA,155000,software engineer,27789,0
A-14206-92365,11/16/2014,4/22/2015,OREGON,98800,software engineer,27798,0
I-200-13262-903399,9/24/2013,11/1/2013,OR,98800,software engineer,27807,0
I-200-13339-597781,12/5/2013,12/12/2013,OR,98800,software engineer,27813,0
I-200-14029-186733,2/3/2014,2/7/2014,OR,98800,software engineer,27822,0
I-200-14055-626756,3/4/2014,3/10/2014,OR,98800,software engineer,27831,0
I-200-14059-321504,3/17/2014,3/21/2014,OR,98800,software engineer,27837,0
I-200-14072-392433,3/18/2014,3/24/2014,OR,98800,software engineer,27846,0
I-200-14114-521827,5/7/2014,5/13/2014,OR,98800,software engineer,27855,0
I-200-14140-140764,5/27/2014,6/2/2014,OR,98800,software engineer,27861,0
I-200-13212-439851,8/1/2013,8/7/2013,OR,98800,software engineer,27870,0
I-200-14344-864762,12/10/2014,12/16/2014,CA,98790,software engineer,27879,0
I-200-14357-365339,12/23/2014,12/30/2014,CA,98790,software engineer,27885,0
I-200-15064-597794,3/12/2015,3/18/2015,NJ,98777,assistant professor,27894,0
I-200-14078-405198,3/20/2014,3/26/2014,TX,102000,management consultant,27903,0
I-200-13259-571263,9/17/2013,9/26/2013,CA,133000,data analyst,27909,0
I-200-13198-750489,7/17/2013,7/23/2013,CA,120191.5,software engineer,27918,0
I-200-14080-747548,3/21/2014,3/27/2014,CA,105000,business analyst,27927,0
I-200-13205-778175,7/26/2013,10/30/2013,CA,98717,business analyst,27933,0
I-200-13254-468263,9/11/2013,9/18/2013,CA,128000,software engineer,27942,0
I-200-13263-166188,9/20/2013,9/30/2013,CA,197600,software engineer,27951,0
I-200-14038-875883,2/11/2014,12/24/2014,CA,98675.2,software engineer,27957,0
I-200-14098-346255,4/11/2014,4/17/2014,CA,98675.2,software engineer,27966,0
I-200-14101-722347,4/22/2014,4/28/2014,CA,230000,software engineer,27975,0
A-13297-04907,10/31/2013,4/22/2015,CALIFORNIA,177300,software engineer,27981,0
I-200-14065-862356,3/6/2014,3/12/2014,CA,170000,software engineer,27990,0
I-200-14126-174203,5/6/2014,5/12/2014,CA,163800,software engineer,27999,0
A-13327-18514,12/10/2013,6/5/2015,CALIFORNIA,160000,software engineer,28005,0
I-200-14126-169955,5/8/2014,5/14/2014,CA,157400,software engineer,28014,0
I-200-14170-836744,6/19/2014,6/25/2014,CA,155000,software engineer,28023,0
I-200-13240-840179,8/30/2013,9/10/2013,CA,153450,software engineer,28029,0
I-200-14066-720850,3/10/2014,3/14/2014,CA,150000,software engineer,28038,0
I-200-13339-687646,12/5/2013,12/11/2013,CA,145000,software engineer,28047,0
I-200-14127-953216,5/8/2014,5/14/2014,CA,143000,software engineer,28053,0
A-14164-78321,7/7/2014,12/1/2014,CALIFORNIA,140000,software engineer,28062,0
I-200-14009-416901,1/9/2014,1/15/2014,CA,140000,software engineer,28071,0
I-200-14142-353642,6/11/2014,6/17/2014,CA,140000,software engineer,28077,0
A-13297-05129,12/4/2013,6/10/2015,CALIFORNIA,135000,software engineer,28086,0
I-200-14105-604624,4/15/2014,4/21/2014,CA,135000,software engineer,28095,0
I-200-14147-784075,6/2/2014,6/6/2014,CA,134100,software engineer,28101,0
I-200-14113-608410,4/23/2014,4/29/2014,CA,133000,software engineer,28110,0
I-200-14064-299098,3/8/2014,6/19/2014,CA,132000,software engineer,28119,0
I-200-14153-374140,6/2/2014,6/6/2014,CA,131000,software engineer,28125,0
A-14248-04530,9/8/2014,2/4/2015,CALIFORNIA,130000,software engineer,28134,0
I-200-14042-664510,2/11/2014,2/18/2014,CA,130000,software engineer,28143,0
I-200-14092-516703,4/2/2014,4/9/2014,CA,130000,software engineer,28149,0
I-200-14126-064653,5/6/2014,5/12/2014,CA,129700,software engineer,28158,0
I-200-14154-099662,6/3/2014,6/9/2014,CA,128100,software engineer,28167,0
I-200-14132-162119,5/13/2014,5/19/2014,CA,127700,software engineer,28173,0
A-14132-68343,5/30/2014,1/26/2015,CALIFORNIA,127000,software engineer,28182,0
I-200-14065-422638,3/10/2014,6/13/2014,CA,126700,software engineer,28191,0
I-200-14162-519450,6/23/2014,6/27/2014,CA,126300,software engineer,28197,0
I-200-13219-738753,8/14/2013,8/20/2013,CA,126000,software engineer,28206,0
A-14128-67638,5/13/2014,11/4/2014,CALIFORNIA,125000,software engineer,28215,0
I-200-13295-788259,10/25/2013,11/1/2013,CA,125000,software engineer,28221,0
I-200-14065-879322,3/7/2014,3/13/2014,CA,125000,software engineer,28230,0
I-200-13297-641761,10/24/2013,11/1/2013,CA,124900,software engineer,28239,0
A-14183-84678,7/3/2014,12/2/2014,CALIFORNIA,124000,software engineer,28245,0
I-200-14143-407967,5/23/2014,5/30/2014,CA,122404,software engineer,28254,0
I-200-13298-183338,10/25/2013,10/22/2014,CA,121332,software engineer,28263,0
A-13316-14298,11/27/2013,5/13/2015,CALIFORNIA,120000,software engineer,28269,0
A-14266-09549,9/28/2014,2/23/2015,CALIFORNIA,120000,software engineer,28278,0
I-200-13291-763958,10/18/2013,10/26/2013,CA,120000,software engineer,28287,0
I-200-13360-399153,12/26/2013,1/2/2014,CA,120000,software engineer,28293,0
I-200-14045-514060,2/18/2014,2/24/2014,CA,120000,software engineer,28302,0
I-200-14077-439442,3/18/2014,3/24/2014,CA,120000,software engineer,28311,0
I-200-13205-831313,7/26/2013,8/1/2013,CA,120000,software engineer,28317,0
I-200-14071-591555,3/12/2014,6/13/2014,CA,119000,software engineer,28326,0
I-200-14078-411896,3/19/2014,3/25/2014,CA,119000,software engineer,28335,0
A-14220-96562,8/14/2014,1/14/2015,CALIFORNIA,118000,software engineer,28341,0
I-200-14150-677590,5/30/2014,6/5/2014,CA,117150,software engineer,28350,0
I-200-14066-731208,3/10/2014,3/14/2014,CA,116500,software engineer,28359,0
I-200-14029-516971,1/30/2014,2/6/2014,CA,115000.08,software engineer,28365,0
A-14029-37081,2/21/2014,6/25/2015,CALIFORNIA,115000,software engineer,28374,0
I-200-12058-909895,3/1/2014,3/6/2014,CA,115000,software engineer,28383,0
I-200-13295-140319,10/22/2013,11/1/2013,CA,115000,software engineer,28389,0
I-200-14022-148739,2/26/2014,3/4/2014,CA,115000,software engineer,28398,0
I-200-14056-117159,3/11/2014,3/17/2014,CA,115000,software engineer,28407,0
I-200-14064-286668,3/11/2014,3/17/2014,CA,115000,software engineer,28413,0
I-200-14077-604897,3/18/2014,3/24/2014,CA,115000,software engineer,28422,0
I-200-14127-019713,5/7/2014,5/13/2014,CA,115000,software engineer,28431,0
I-200-14155-847617,6/5/2014,6/11/2014,CA,115000,software engineer,28437,0
I-200-13226-621563,8/21/2013,8/27/2013,CA,115000,software engineer,28446,0
I-200-14132-343065,5/12/2014,6/12/2014,CA,114000.12,software engineer,28455,0
I-200-14168-151736,6/17/2014,6/23/2014,CA,114000,software engineer,28461,0
I-200-14142-485926,6/3/2014,6/9/2014,CA,113400,software engineer,28470,0
A-14128-67634,5/12/2014,11/4/2014,CALIFORNIA,113000,software engineer,28479,0
A-14133-69020,5/15/2014,10/24/2014,CALIFORNIA,113000,software engineer,28485,0
A-14197-89041,7/21/2014,12/16/2014,CALIFORNIA,113000,software engineer,28494,0
A-14209-92979,7/29/2014,1/2/2015,CALIFORNIA,113000,software engineer,28503,0
I-200-14051-567914,2/27/2014,3/5/2014,CA,113000,software engineer,28509,0
I-200-13255-956864,9/16/2013,9/24/2013,CA,112666.58,software engineer,28518,0
I-200-13295-723667,10/22/2013,11/1/2013,CA,112000,software engineer,28527,0
I-200-14042-331540,2/17/2014,2/21/2014,CA,112000,software engineer,28533,0
I-200-13364-617846,12/30/2013,1/6/2014,CA,111000,software engineer,28542,0
I-200-14015-756559,1/15/2014,1/22/2014,CA,110250,software engineer,28551,0
A-14206-92320,7/29/2014,12/24/2014,CALIFORNIA,110094,software engineer,28557,0
A-14163-77501,7/9/2014,12/3/2014,CALIFORNIA,110000,software engineer,28566,0
I-200-14093-049966,4/8/2014,11/25/2014,CA,110000,software engineer,28575,0
I-200-13292-138651,10/19/2013,10/26/2013,CA,110000,software engineer,28581,0
I-200-13337-194862,12/3/2013,12/9/2013,CA,110000,software engineer,28590,0
I-200-14002-600988,1/13/2014,1/17/2014,CA,110000,software engineer,28599,0
I-200-14008-329019,1/8/2014,1/14/2014,CA,110000,software engineer,28605,0
I-200-14028-479561,2/3/2014,2/7/2014,CA,110000,software engineer,28614,0
I-200-14042-203241,2/11/2014,2/18/2014,CA,110000,software engineer,28623,0
I-200-14050-245659,2/24/2014,2/28/2014,CA,110000,software engineer,28629,0
I-200-14066-545908,3/12/2014,6/16/2014,CA,110000,software engineer,28638,0
I-200-14074-263116,3/15/2014,3/20/2014,CA,110000,software engineer,28647,0
I-200-14076-971910,3/17/2014,6/20/2014,CA,110000,software engineer,28653,0
I-200-14092-900539,4/2/2014,4/9/2014,CA,110000,software engineer,28662,0
I-200-14140-826624,5/20/2014,5/27/2014,CA,110000,software engineer,28671,0
I-200-14157-699723,6/6/2014,6/12/2014,CA,110000,software engineer,28677,0
I-200-13211-965055,8/1/2013,8/7/2013,CA,110000,software engineer,28686,0
I-200-13252-187798,9/9/2013,9/17/2013,CA,110000,software engineer,28695,0
I-200-14132-217206,5/13/2014,5/14/2014,CA,109350,software engineer,28703,0
I-200-14139-055963,5/21/2014,5/28/2014,CA,109100,software engineer,28712,0
I-200-14066-691145,3/10/2014,3/14/2014,CA,108800,software engineer,28721,0
I-200-13291-270775,10/18/2013,10/26/2013,CA,108000,software engineer,28727,0
I-200-14127-655095,5/7/2014,5/13/2014,CA,108000,software engineer,28736,0
I-200-14035-505240,2/10/2014,6/13/2014,CA,107500,software engineer,28745,0
I-200-14056-457253,2/25/2014,3/3/2014,CA,107000,software engineer,28751,0
I-200-14028-549968,2/3/2014,2/7/2014,CA,106300,software engineer,28760,0
I-200-14066-720879,3/10/2014,3/14/2014,CA,106200,software engineer,28769,0
I-200-14030-336003,2/11/2014,6/3/2014,CA,106000,software engineer,28775,0
A-14119-64792,6/5/2014,11/20/2014,CALIFORNIA,105000,software engineer,28784,0
A-14246-03665,9/29/2014,2/19/2015,CALIFORNIA,105000,software engineer,28793,0
I-200-14014-859582,2/3/2014,10/17/2014,CA,105000,software engineer,28799,0
I-200-13326-588752,11/26/2013,12/3/2013,CA,105000,software engineer,28808,0
I-200-13347-612444,2/3/2014,2/7/2014,CA,105000,software engineer,28817,0
I-200-13347-765865,2/14/2014,6/17/2014,CA,105000,software engineer,28823,0
I-200-13353-134759,2/3/2014,6/17/2014,CA,105000,software engineer,28832,0
I-200-14008-027441,2/3/2014,6/17/2014,CA,105000,software engineer,28841,0
I-200-14010-078810,2/3/2014,2/7/2014,CA,105000,software engineer,28847,0
I-200-14014-592886,2/3/2014,2/7/2014,CA,105000,software engineer,28856,0
I-200-14016-867112,1/30/2014,2/6/2014,CA,105000,software engineer,28865,0
I-200-14017-989321,2/12/2014,6/17/2014,CA,105000,software engineer,28871,0
I-200-14022-612426,2/12/2014,2/19/2014,CA,105000,software engineer,28880,0
I-200-14024-937308,2/25/2014,6/19/2014,CA,105000,software engineer,28889,0
I-200-14028-705734,2/4/2014,6/13/2014,CA,105000,software engineer,28895,0
I-200-14030-529557,2/3/2014,2/7/2014,CA,105000,software engineer,28904,0
I-200-14031-461878,3/5/2014,6/18/2014,CA,105000,software engineer,28913,0
I-200-14035-086803,2/10/2014,6/16/2014,CA,105000,software engineer,28919,0
I-200-14036-724201,2/26/2014,6/3/2014,CA,105000,software engineer,28928,0
I-200-14038-495842,2/19/2014,2/25/2014,CA,105000,software engineer,28937,0
I-200-14039-498909,2/8/2014,2/13/2014,CA,105000,software engineer,28943,0
I-200-14043-391621,2/19/2014,2/25/2014,CA,105000,software engineer,28952,0
I-200-14045-541221,2/19/2014,2/25/2014,CA,105000,software engineer,28961,0
I-200-14046-722389,2/26/2014,6/16/2014,CA,105000,software engineer,28967,0
I-200-14051-023501,2/20/2014,2/26/2014,CA,105000,software engineer,28976,0
I-200-14052-465914,2/26/2014,3/4/2014,CA,105000,software engineer,28985,0
I-200-14055-870609,3/4/2014,3/10/2014,CA,105000,software engineer,28991,0
I-200-14057-514478,3/5/2014,3/11/2014,CA,105000,software engineer,29000,0
I-200-14057-699577,3/9/2014,3/13/2014,CA,105000,software engineer,29009,0
I-200-14058-732302,3/7/2014,6/17/2014,CA,105000,software engineer,29015,0
I-200-14062-205954,3/10/2014,6/16/2014,CA,105000,software engineer,29024,0
I-200-14065-250845,3/6/2014,3/12/2014,CA,105000,software engineer,29033,0
I-200-14066-468761,3/12/2014,6/24/2014,CA,105000,software engineer,29039,0
I-200-14067-730530,3/14/2014,6/3/2014,CA,105000,software engineer,29048,0
I-200-14070-267633,3/11/2014,6/16/2014,CA,105000,software engineer,29057,0
I-200-14071-002283,3/14/2014,3/20/2014,CA,105000,software engineer,29063,0
I-200-14071-357489,3/12/2014,3/18/2014,CA,105000,software engineer,29072,0
I-200-14071-857202,3/17/2014,3/21/2014,CA,105000,software engineer,29081,0
I-200-14072-382358,3/14/2014,3/20/2014,CA,105000,software engineer,29087,0
I-200-14072-955328,3/13/2014,3/19/2014,CA,105000,software engineer,29096,0
I-200-14074-377559,3/17/2014,3/21/2014,CA,105000,software engineer,29105,0
I-200-14076-497516,3/18/2014,6/19/2014,CA,105000,software engineer,29111,0
I-200-14077-020499,3/18/2014,6/13/2014,CA,105000,software engineer,29120,0
I-200-14077-477143,3/18/2014,3/24/2014,CA,105000,software engineer,29129,0
I-200-14078-281846,3/19/2014,3/25/2014,CA,105000,software engineer,29135,0
I-200-14091-155323,4/4/2014,4/10/2014,CA,105000,software engineer,29144,0
I-200-14161-131657,6/11/2014,6/17/2014,CA,105000,software engineer,29153,0
I-202-14045-434251,2/17/2014,2/21/2014,CA,105000,software engineer,29159,0
I-200-13213-471232,8/2/2013,8/8/2013,CA,105000,software engineer,29168,0
I-200-13186-965367,7/9/2013,7/9/2014,CA,104400,software engineer,29177,0
I-200-14052-768270,2/21/2014,2/25/2014,CA,103800,software engineer,29183,0
I-200-14028-709406,2/1/2014,2/7/2014,CA,102000,software engineer,29192,0
I-200-14074-035448,3/15/2014,3/20/2014,CA,101475,software engineer,29201,0
I-200-13263-416800,9/23/2013,10/21/2013,CA,101000,software engineer,29207,0
I-200-14066-949022,3/17/2014,10/27/2014,CA,100984,software engineer,29216,0
I-200-14105-794518,4/16/2014,4/24/2014,CA,100800,software engineer,29225,0
I-200-14149-407491,5/29/2014,6/4/2014,CA,100800,software engineer,29231,0
A-14211-94053,8/4/2014,1/6/2015,CALIFORNIA,100000,software engineer,29240,0
I-200-13296-423991,10/23/2013,11/1/2013,CA,100000,software engineer,29249,0
I-200-13343-237080,12/10/2013,12/16/2013,CA,100000,software engineer,29255,0
I-200-14022-331757,1/24/2014,1/30/2014,CA,100000,software engineer,29264,0
I-200-14029-936036,1/31/2014,2/7/2014,CA,100000,software engineer,29273,0
I-200-14039-298483,2/8/2014,2/13/2014,CA,100000,software engineer,29279,0
I-200-14053-484021,2/25/2014,3/3/2014,CA,100000,software engineer,29288,0
I-200-14058-852320,2/28/2014,3/6/2014,CA,100000,software engineer,29297,0
I-200-14064-248494,3/12/2014,3/18/2014,CA,100000,software engineer,29303,0
I-200-14072-494406,3/13/2014,3/19/2014,CA,100000,software engineer,29312,0
I-200-14085-000308,3/26/2014,4/1/2014,CA,100000,software engineer,29321,0
I-200-14099-554304,4/9/2014,4/15/2014,CA,100000,software engineer,29327,0
I-200-14163-188834,6/12/2014,6/18/2014,CA,100000,software engineer,29336,0
I-200-13200-074779,7/22/2013,7/26/2013,CA,100000,software engineer,29345,0
I-200-13219-129952,8/8/2013,8/14/2013,CA,100000,software engineer,29351,0
I-200-13255-184915,9/13/2013,9/19/2013,CA,100000,software engineer,29360,0
I-200-13210-558547,7/29/2013,8/2/2013,CA,99400,software engineer,29369,0
I-200-13292-150876,10/19/2013,10/26/2013,CA,99000,software engineer,29375,0
I-200-14079-098953,3/20/2014,3/26/2014,CA,99000,software engineer,29384,0
I-200-13242-703658,8/30/2013,9/6/2013,CA,99000,software engineer,29393,0
I-200-14058-948306,2/27/2014,3/5/2014,CA,98750,software engineer,29399,0
A-13316-14246,11/15/2013,5/13/2015,CALIFORNIA,98675,software engineer,29408,0
A-14104-60380,4/25/2014,10/1/2014,CALIFORNIA,98675,software engineer,29417,0
A-14118-64406,5/7/2014,10/15/2014,CALIFORNIA,98675,software engineer,29423,0
A-14134-69419,6/23/2014,11/10/2014,CALIFORNIA,98675,software engineer,29432,0
A-14141-71210,10/10/2014,3/6/2015,CALIFORNIA,98675,software engineer,29441,0
A-14168-79219,8/25/2014,1/9/2015,CALIFORNIA,98675,software engineer,29447,0
A-14195-88355,7/30/2014,12/30/2014,CALIFORNIA,98675,software engineer,29456,0
A-14209-92984,7/29/2014,1/2/2015,CALIFORNIA,98675,software engineer,29465,0
A-14216-95106,8/5/2014,1/6/2015,CALIFORNIA,98675,software engineer,29471,0
A-14231-99733,8/27/2014,1/15/2015,CALIFORNIA,98675,software engineer,29480,0
I-200-13191-478961,7/11/2013,10/10/2014,CA,98675,software engineer,29489,0
I-200-14168-425430,6/18/2014,11/26/2014,CA,98675,software engineer,29495,0
I-200-13291-529169,10/18/2013,10/26/2013,CA,98675,software engineer,29504,0
I-200-13309-074327,11/5/2013,11/12/2013,CA,98675,software engineer,29513,0
I-200-13318-258068,11/18/2013,11/22/2013,CA,98675,software engineer,29519,0
I-200-13357-864684,12/23/2013,9/30/2014,CA,98675,software engineer,29528,0
I-200-14014-014826,1/14/2014,1/21/2014,CA,98675,software engineer,29537,0
I-200-14027-585337,1/28/2014,2/4/2014,CA,98675,software engineer,29543,0
I-200-14038-304640,2/7/2014,2/13/2014,CA,98675,software engineer,29552,0
I-200-14051-531999,2/20/2014,2/26/2014,CA,98675,software engineer,29561,0
I-200-14055-625973,2/25/2014,3/3/2014,CA,98675,software engineer,29567,0
I-200-14064-401399,3/6/2014,5/15/2014,CA,98675,software engineer,29576,0
I-200-14065-564556,3/6/2014,3/12/2014,CA,98675,software engineer,29585,0
I-200-14069-711165,3/10/2014,3/18/2014,CA,98675,software engineer,29591,0
I-200-14070-935544,3/11/2014,3/17/2014,CA,98675,software engineer,29600,0
I-200-14079-098197,3/20/2014,3/28/2014,CA,98675,software engineer,29609,0
I-200-14100-721766,4/15/2014,4/23/2014,CA,98675,software engineer,29615,0
I-200-14126-545835,5/6/2014,5/12/2014,CA,98675,software engineer,29624,0
I-200-14150-043114,6/3/2014,6/9/2014,CA,98675,software engineer,29633,0
I-200-14170-771533,6/20/2014,6/26/2014,CA,98675,software engineer,29639,0
I-200-13189-070618,7/15/2013,7/19/2013,CA,98675,software engineer,29648,0
I-200-13133-907596,8/14/2013,8/20/2013,CA,98675,software engineer,29657,0
I-203-13232-894934,8/21/2013,8/27/2013,CA,98675,software engineer,29663,0
I-200-13260-610936,9/17/2013,9/23/2013,CA,98675,software engineer,29672,0
I-200-12312-620385,11/9/2012,11/16/2012,CA,104300,software engineer,29681,0
I-200-12096-919671,4/5/2012,11/1/2012,CA,98654.4,software engineer,29687,0
I-200-11319-771632,11/17/2011,11/23/2011,CA,98654.4,software engineer,29696,0
I-200-11186-390357,7/7/2011,12/7/2012,CA,98654,software engineer,29705,0
I-200-11301-287495,11/2/2011,11/8/2011,CA,98654,software engineer,29711,0
I-200-14031-898461,1/31/2014,3/18/2014,NC,98613,software engineer,29720,0
I-200-14337-026398,12/8/2014,12/12/2014,CA,98590,software engineer,29729,0
I-200-11244-432265,9/1/2011,10/17/2011,NV,98571,software engineer,29735,0
A-14304-21430,11/18/2014,5/21/2015,CALIFORNIA,98559,software engineer,29744,0
I-200-14206-513074,7/28/2014,8/4/2014,CA,98559,software engineer,29753,0
I-200-11021-482079,9/9/2014,9/16/2014,CA,130000,software engineer,29759,0
I-200-13022-688361,9/11/2014,9/18/2014,CA,120000,software engineer,29768,0
I-200-13336-382442,12/3/2013,12/9/2013,OH,85906.08,assistant professor,29777,0
I-200-15058-688212,2/27/2015,3/5/2015,CA,116000,software engineer,29783,0
I-200-14213-412444,8/1/2014,8/7/2014,CA,110000,software engineer,29792,0
I-200-13344-701879,12/11/2013,12/17/2013,CA,105000,business analyst,29801,0
I-200-14164-922428,6/18/2014,6/24/2014,CA,100636.89,software engineer,29807,0
I-200-15006-263151,1/20/2015,3/25/2015,CA,99000,software engineer,29816,0
I-200-14099-912521,4/22/2014,4/28/2014,TX,98550,software engineer,29825,0
I-200-14160-112868,6/10/2014,6/16/2014,TX,98550,software engineer,29831,0
I-200-14283-348227,10/10/2014,10/17/2014,CA,103000.08,software engineer,29840,0
I-200-13081-073207,3/22/2013,3/28/2013,TX,224640,business analyst,29849,0
I-200-11112-283758,4/29/2011,11/28/2011,CA,122351,software engineer,29855,0
I-200-11068-591005,3/31/2011,1/13/2014,CA,107279,software engineer,29864,0
I-200-11139-220786,5/24/2011,11/28/2011,CA,100000,software engineer,29873,0
I-200-11081-317068,3/25/2011,7/8/2013,CA,98530,software engineer,29879,0
I-200-11293-129420,10/20/2011,10/26/2011,VA,107000,software engineer,29888,0
A-14252-05072,9/30/2014,2/20/2015,CALIFORNIA,144000,software engineer,29897,0
I-200-14209-437959,7/29/2014,8/5/2014,CA,128100,software engineer,29903,0
I-200-15062-343246,3/5/2015,3/11/2015,CA,115500,software engineer,29912,0
I-200-15054-921492,3/16/2015,3/20/2015,CA,110000,software engineer,29921,0
A-14219-96464,8/21/2014,1/14/2015,CALIFORNIA,105000,software engineer,29927,0
I-200-15037-926712,2/18/2015,2/24/2015,CA,100000,software engineer,29936,0
I-200-15066-350097,3/9/2015,3/13/2015,CA,100000,software engineer,29945,0
I-200-15081-779781,3/22/2015,3/26/2015,CA,100000,software engineer,29951,0
I-200-15077-764626,3/18/2015,3/24/2015,CA,98500,software engineer,29960,0
I-200-15084-529197,3/25/2015,3/31/2015,CA,98488,software engineer,29969,0
I-200-14289-672063,10/17/2014,10/23/2014,CA,98488,software engineer,29975,0
I-200-15041-834593,2/11/2015,2/18/2015,CA,98488,software engineer,29984,0
I-200-15063-672395,3/10/2015,3/16/2015,CA,98488,software engineer,29993,0
I-200-14227-872941,8/15/2014,8/21/2014,CA,98488,software engineer,29999,0
I-200-13078-472181,3/19/2013,3/25/2013,MA,105000,software engineer,30008,0
I-200-13067-243463,3/11/2013,3/15/2013,CA,100000,software engineer,30017,0
I-200-13108-416708,4/29/2013,5/3/2013,NJ,108367.92,software engineer,30023,0
I-200-14220-506245,8/8/2014,8/14/2014,AL,74880,assistant professor,30032,0
I-200-15067-479269,3/16/2015,3/25/2015,CA,100000,software engineer,30045,0
A-14201-90577,10/15/2014,6/2/2015,MASSACHUSETTS,98330,software engineer,30051,0
I-200-14104-603902,4/23/2014,4/29/2014,CA,98285,software engineer,30060,0
I-200-14046-817569,5/26/2014,5/30/2014,CA,98272,software engineer,30069,0
I-200-14152-459117,6/5/2014,6/11/2014,CA,98272,software engineer,30075,0
I-200-12335-054777,11/30/2012,12/6/2012,IL,125000,software engineer,30084,0
I-200-14168-341495,6/30/2014,7/7/2014,NC,98238,business analyst,30093,0
I-200-14346-758376,12/15/2014,12/19/2014,CA,98232,software engineer,30099,0
I-200-13200-790321,7/30/2013,8/5/2013,CO,98200,software engineer,30108,0
I-200-14008-425631,1/8/2014,10/16/2014,CA,108100,software engineer,30117,0
I-200-14013-443820,1/13/2014,1/17/2014,CA,98280,software engineer,30123,0
I-200-14281-183721,10/9/2014,10/16/2014,CA,98166,software engineer,30132,0
A-14132-68688,5/22/2014,10/22/2014,OHIO,343815,assistant professor,30141,0
I-200-13155-395957,6/4/2013,6/10/2013,KS,240000,assistant professor,30147,0
I-200-13073-408070,3/14/2013,3/20/2013,KS,174444,assistant professor,30156,0
I-200-13330-240429,11/26/2013,12/4/2013,MN,98100,software engineer,30165,0
I-200-14300-313640,10/27/2014,10/31/2014,CA,98076,software engineer,30171,0
I-200-15069-928922,3/10/2015,3/19/2015,WA,69000,business analyst,30180,0
I-200-14055-407521,2/27/2014,3/5/2014,DC,115000,software engineer,30189,0
I-200-13120-461080,4/30/2013,5/6/2013,CA,98004,assistant professor,30196,0
I-200-14127-381649,5/7/2014,8/18/2014,IL,110000,software engineer,30205,0
I-200-13211-650402,7/30/2013,8/2/2013,PA,100000,software engineer,30214,0
A-14265-08899,9/22/2014,2/9/2015,PENNSYLVANIA,97989,software engineer,30220,0
A-14274-11864,10/1/2014,2/26/2015,PENNSYLVANIA,97989,software engineer,30229,0
A-14279-13365,10/6/2014,3/3/2015,PENNSYLVANIA,97989,software engineer,30238,0
A-14293-17368,10/20/2014,3/13/2015,PENNSYLVANIA,97989,software engineer,30244,0
A-14304-21522,10/31/2014,4/17/2015,PENNSYLVANIA,97989,software engineer,30253,0
I-200-13144-510310,6/12/2013,6/18/2013,NC,97968,software engineer,30262,0
I-203-13148-475530,5/30/2013,6/5/2013,CA,115000,software engineer,30268,0
I-200-15075-649594,3/16/2015,3/20/2015,FL,98000,software engineer,30277,0
I-200-13072-903496,3/13/2013,3/19/2013,CA,117000,software engineer,30286,0
I-200-13060-762126,3/5/2013,3/11/2013,CA,115000,software engineer,30292,0
I-200-13057-497963,3/1/2013,3/7/2013,CA,112000,software engineer,30301,0
I-200-13063-222022,3/4/2013,3/8/2013,CA,110200,software engineer,30310,0
I-200-13057-249972,2/27/2013,3/5/2013,CA,110000,software engineer,30316,0
I-200-13050-485206,2/27/2013,3/5/2013,CA,105000,software engineer,30325,0
I-200-13053-417164,2/27/2013,3/5/2013,CA,102000,software engineer,30334,0
I-200-13070-691039,3/13/2013,3/19/2013,CA,100000,software engineer,30340,0
I-200-13113-151168,4/23/2013,4/29/2013,CA,126000,software engineer,30349,0
I-200-13135-984514,5/15/2013,5/21/2013,CA,123000,software engineer,30358,0
I-200-13126-096643,5/6/2013,5/10/2013,CA,111000,software engineer,30364,0
I-200-13057-322454,2/26/2013,3/4/2013,CA,105000,software engineer,30373,0
I-200-13057-931789,2/26/2013,3/4/2013,CA,103000,software engineer,30382,0
I-200-13058-871792,2/27/2013,3/5/2013,CA,103000,software engineer,30388,0
I-200-13063-192801,3/4/2013,3/8/2013,CA,103000,software engineer,30397,0
I-200-13064-473802,3/5/2013,3/11/2013,CA,103000,software engineer,30406,0
